,name,start_pos,end_pos,tag,score
0,Lady Anselman,0,13,PERSON,1
1,the Ritz Hotel,51,65,ORG,1
2,French,146,152,NORP,1
3,French,247,253,NORP,1
4,Cabinet,390,397,ORG,1
5,Lady Anselman,802,815,PERSON,1
6,for!”she,910,918,PERSON,1
7,one,1036,1039,CARDINAL,1
8,Daniell,1125,1132,PERSON,1
9,Lord Romsey,1177,1188,PERSON,1
10,"Madame Selarne,”he",1198,1216,PERSON,1
11,French,1305,1311,NORP,1
12,Anselman,1326,1334,PERSON,1
13,Thomson,1391,1398,PERSON,1
14,Geraldine Conyers,1514,1531,PERSON,1
15,Seymour Conyers,1557,1572,PERSON,1
16,Olive Moreton,1629,1642,GPE,1
17,last week,1675,1684,DATE,1
18,Lady Patrick,1686,1698,PERSON,1
19,Signor Scobel,1723,1736,PERSON,1
20,Adelaide Cunningham,1742,1761,PERSON,1
21,Daniell,1797,1804,PERSON,1
22,"Eleven including ourselves,”he",1899,1929,WORK_OF_ART,1
23,Anselman,1972,1980,PERSON,1
24,Ronnie,2068,2074,PERSON,1
25,Ronald Granet,2432,2445,PERSON,1
26,Lady Anselman,2490,2503,PERSON,1
27,last Tuesday,2531,2543,DATE,1
28,"front,”she",2569,2579,ORG,1
29,first,2598,2603,ORDINAL,1
30,perhaps?”Madame Selarne,2638,2661,PERSON,1
31,"leg,”Lady Anselman",2716,2734,PERSON,1
32,Romsey,2948,2954,PERSON,1
33,Lady Anselman,2965,2978,PERSON,1
34,august,2994,3000,DATE,1
35,one,3157,3160,CARDINAL,1
36,about three weeks,3259,3276,DATE,1
37,"last,”she",3383,3392,ORG,1
38,a few minutes,3516,3529,TIME,1
39,First,4153,4158,ORDINAL,1
40,French,4190,4196,NORP,1
41,Selarne,4284,4291,PERSON,1
42,Lady Patrick,4293,4305,PERSON,1
43,first,4391,4396,ORDINAL,1
44,Daniell,4425,4432,PERSON,1
45,Cabinet,4543,4550,ORG,1
46,Geraldine Conyers,4579,4596,PERSON,1
47,Lady Anselman,4639,4652,PERSON,1
48,Conyers,4713,4720,PERSON,1
49,Ronnie,4778,4784,PERSON,1
50,Geraldine,4786,4795,PERSON,1
51,"too,”he",4981,4988,ORG,1
52,"man,”Lady Anselman",5090,5108,PERSON,1
53,Olive Moreton,5142,5155,PERSON,1
54,Geraldine,5169,5178,PERSON,1
55,Conyers,5203,5210,PERSON,1
56,two,5217,5220,CARDINAL,1
57,Lady Anselman,5249,5262,PERSON,1
58,Selarne,5461,5468,PERSON,1
59,one,5495,5498,CARDINAL,1
60,"Ronnie,”she said,“I",5628,5647,WORK_OF_ART,1
61,Thomson,5695,5702,PERSON,1
62,France,5706,5712,GPE,1
63,Thomson,5720,5727,PERSON,1
64,Geraldine Conyers,5831,5848,PERSON,1
65,Surgeon,6191,6198,ORG,1
66,Thomson,6205,6212,PERSON,1
67,the Field Hospitals,6255,6274,FAC,1
68,Thomson,6455,6462,PERSON,1
69,Lady Anselman,6663,6676,PERSON,1
70,Cabinet,6825,6832,ORG,1
71,two,6861,6864,CARDINAL,1
72,one,6888,6891,CARDINAL,1
73,Conyers,6927,6934,PERSON,1
74,"Ronnie,”she",6936,6947,GPE,1
75,Olive,7064,7069,ORG,1
76,Ralph,7071,7076,PERSON,1
77,Romsey,7343,7349,PERSON,1
78,Ronnie,7555,7561,PERSON,1
79,Madame,7787,7793,PERSON,1
80,French,7856,7862,NORP,1
81,French,7915,7921,NORP,1
82,Romsey,7958,7964,PERSON,1
83,middle-age,8044,8054,DATE,1
84,"hostess,”he",8164,8175,PERSON,1
85,Selarne,8280,8287,PERSON,1
86,"position,”he",8404,8416,PERSON,1
87,Anselman,8595,8603,PERSON,1
88,Selarne,8640,8647,PERSON,1
89,Manchester,8725,8735,GPE,1
90,Selarne,8778,8785,ORG,1
91,Cunningham,9119,9129,PERSON,1
92,Thomson,9296,9303,PERSON,1
93,more than half,9335,9349,CARDINAL,1
94,one,9384,9387,CARDINAL,1
95,first,9798,9803,ORDINAL,1
96,Ronnie Granet,10620,10633,GPE,1
97,first,10688,10693,ORDINAL,1
98,"me,”he",10919,10925,DATE,1
99,thousands,11006,11015,CARDINAL,1
100,"him,”she",11021,11029,ORG,1
101,British,11061,11068,NORP,1
102,Thomson,11218,11225,PERSON,1
103,Cunningham,11395,11405,PERSON,1
104,Alfred Anselman,11427,11442,PERSON,1
105,Warwickshire,11549,11561,GPE,1
106,Germans,11621,11628,NORP,1
107,Lady Granet,11676,11687,PERSON,1
108,Alsatian,11695,11703,NORP,1
109,America,11762,11769,GPE,1
110,Middlesex,11849,11858,GPE,1
111,Oxford,11900,11906,ORG,1
112,the year,11907,11915,DATE,1
113,"An Admirable Crichton,”Major",11941,11969,WORK_OF_ART,1
114,"fancy,”he",12156,12165,ORG,1
115,Cunningham,12259,12269,PERSON,1
116,Daniell,12409,12416,PERSON,1
117,a few minutes,12421,12434,TIME,1
118,Thomson,12540,12547,PERSON,1
119,Geraldine Conyers,12709,12726,PERSON,1
120,Granet,12873,12879,PERSON,1
121,Tommies,12935,12942,PERSON,1
122,one,13116,13119,CARDINAL,1
123,One,13211,13214,CARDINAL,1
124,"any,”he",13446,13453,PERSON,1
125,months,13498,13504,DATE,1
126,you?”he,13643,13650,ORG,1
127,a few days,13799,13809,DATE,1
128,"back,”he",14016,14024,PERSON,1
129,"impossibility,”he",14568,14585,PERSON,1
130,dodge,14640,14645,ORG,1
131,two,14741,14744,CARDINAL,1
132,Thomson,14875,14882,PERSON,1
133,Geraldine Conyers,15305,15322,PERSON,1
134,Captain Granet,15327,15341,PERSON,1
135,Lady Anselman,15397,15410,PERSON,1
136,Thomson,15439,15446,PERSON,1
137,a few more minutes,15472,15490,TIME,1
138,French,15520,15526,NORP,1
139,Selarne,15697,15704,PERSON,1
140,French,15846,15852,NORP,1
141,"that,”he",15954,15962,ORG,1
142,German,16058,16064,NORP,1
143,Lady Anselman 's,16162,16178,PERSON,1
144,Madame Selarne,16308,16322,PERSON,1
145,Thomson,16330,16337,PERSON,1
146,Geraldine Conyers,16428,16445,PERSON,1
147,"may,”he",16547,16554,ORG,1
148,a few minutes,16591,16604,TIME,1
149,Granet,16729,16735,PERSON,1
150,one,17119,17122,CARDINAL,1
151,half,17264,17268,CARDINAL,1
152,Granet,17325,17331,PERSON,1
153,Thomson,17518,17525,PERSON,1
154,Thomson,17776,17783,PERSON,1
155,Two or three,17801,17813,CARDINAL,1
156,a few seconds,17825,17838,TIME,1
157,d'hotel,17943,17950,PERSON,1
158,Anselman,18154,18162,PERSON,1
159,Belgian,18229,18236,NORP,1
160,Anselman,18389,18397,PERSON,1
161,Geraldine,18574,18583,PERSON,1
162,"battlefield,”he",18990,19005,LAW,1
163,Thomson,19207,19214,PERSON,1
164,Queer,19389,19394,NORP,1
165,"Thomson,”he",19410,19421,ORG,1
166,Conyers,19478,19485,PERSON,1
167,Thomson,19871,19878,PERSON,1
168,"state,”he",19980,19989,PERSON,1
169,Belgian,20009,20016,NORP,1
170,Thomson,20329,20336,ORG,1
171,yet?”he,20370,20377,ORG,1
172,Thomson,20498,20505,PERSON,1
173,"present,”he",20620,20631,PERSON,1
174,Geraldine,20689,20698,PERSON,1
175,Lady Anselman,20745,20758,PERSON,1
176,Granet,20760,20766,PERSON,1
177,Conyers,20862,20869,PERSON,1
178,Thomson,20934,20941,PERSON,1
179,Lady Anselman,20944,20957,PERSON,1
180,what?”he,21000,21008,PERSON,1
181,Lady Anselman,21027,21040,PERSON,1
182,"Evidently,”she remarked,“your",21074,21103,PERSON,1
183,Thomson,21261,21268,PERSON,1
184,Piccadilly,21346,21356,GPE,1
185,Geraldine,21362,21371,PERSON,1
186,Ritz,21396,21400,ORG,1
187,a few minutes ago,21472,21489,TIME,1
188,morning,21678,21685,TIME,1
189,Hugh,21804,21808,PERSON,1
190,"man,”Thomson",22266,22278,PERSON,1
191,the last few months,22395,22414,DATE,1
192,one,22644,22647,CARDINAL,1
193,Hugh,22730,22734,PERSON,1
194,a hundred and thirty-two,22744,22768,CARDINAL,1
195,Middlesex,22773,22782,GPE,1
196,the day,22783,22790,DATE,1
197,"can,”Major Thomson",22901,22919,PERSON,1
198,one,23088,23091,CARDINAL,1
199,THE IRISH SEA,23247,23260,LOC,1
200,TWENTY-TWO,23262,23272,CARDINAL,1
201,"thing,”she groaned,“which",23306,23331,PERSON,1
202,one,23338,23341,CARDINAL,1
203,one,23738,23741,CARDINAL,1
204,forty knots an hour,23760,23779,QUANTITY,1
205,four-inch,23802,23811,QUANTITY,1
206,Geraldine,23944,23953,PERSON,1
